48,48,48
64,64,64
80,80,80
81,81,81
96,96,96
100,100,100
110,110,110
112,112,112
128,128,128
130,130,130
80,80,374
140,140,140
144,144,144
96,96,374
168,168,128
160,160,160
162,162,162
80,80,680
189,189,130
168,168,168
100,224,224
224,224,100
224,224,110
180,180,180
128,128,360
224,224,120
130,224,224
189,189,189
192,192,192
196,196,196
225,225,169
210,210,210
128,128,680
224,224,224
225,225,225
240,240,240
256,256,256
270,270,270
272,272,272
280,280,280
288,288,288
294,294,294
300,300,300
315,315,315
320,320,320
